project,claude-haiku-4-5-20251001_composite,claude-opus-4-6_composite,claude-sonnet-4-5_composite,claude-haiku-4-5-20251001_grade,claude-opus-4-6_grade,claude-sonnet-4-5_grade,claude-haiku-4-5-20251001_mode,claude-opus-4-6_mode,claude-sonnet-4-5_mode
VCS_1508,47.25,47.23,44.85,BBB,BBB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1521,50.88,47.7,48.2,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1525,49.62,47.68,48.58,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1529,42.42,43.35,42.42,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1542,50.1,49.4,50.8,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1549,54.27,52.1,52.12,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1566,37.02,36.95,38.3,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1577,49.62,50.62,50.05,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1578,50.38,49.88,49.55,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1580,49.55,49.2,48.5,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1650,33.6,32.33,35.58,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1656,47.75,48.45,49.5,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1671,48.55,50.83,49.58,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1686,36.48,36.4,37.15,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1693,48.85,48.65,48.38,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1718,43.25,40.62,40.67,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1721,34.35,34.62,36.3,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_173,48.5,50.48,48.23,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1742,41.2,42.92,41.98,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1748,34.27,35.33,35.55,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1758,43.88,41.73,43.42,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1762,43.9,42.6,46.35,BB,BB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1781,40.15,41.62,41.2,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1792,44.65,45.5,43.67,BB,BBB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1824,37.9,40.12,39.35,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1883,55.08,55.38,53.8,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_191,38.85,38.25,38.65,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_192,47.98,49.85,49.55,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1985,51.38,51.1,49.75,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_2026,51.83,48.27,49.38,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_2089,49.88,49.38,48.27,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_2092,48.85,49.38,50.23,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_2095,50.48,50.62,48.65,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_2097,48.5,48.08,48.9,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_2098,55.6,54.1,53.68,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_2307,48.75,49.12,50.05,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_245,48.52,48.65,48.25,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_251,40.02,38.35,39.27,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_253,58.92,58.9,63.3,BBB,BBB,A,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_261,38.75,39.12,40.02,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_264,38.2,38.38,37.8,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_265,49.05,48.18,49.33,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_274,47.88,48.85,49.02,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_292,43.0,43.15,44.4,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_293,45.73,47.0,45.0,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_309,47.77,48.27,50.62,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_330,48.05,47.65,50.02,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_338,52.8,51.4,51.33,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_391,43.42,40.8,43.9,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_414,50.85,49.17,48.12,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_426,61.8,60.45,61.23,A,A,A,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_439,61.65,59.27,58.42,A,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_476,49.38,49.4,50.42,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_486,39.0,39.77,40.05,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_487,49.17,49.9,49.48,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_493,49.83,49.4,48.83,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_494,47.65,46.7,48.05,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_498,40.27,41.27,43.17,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_499,50.38,49.15,48.65,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_51,41.55,40.67,42.58,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_513,51.45,48.98,48.67,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_528,54.58,54.35,55.85,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_529,56.62,53.6,54.68,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_535,42.27,43.17,42.58,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_566,40.4,42.8,42.02,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_584,50.42,47.3,49.12,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_603,40.2,39.38,40.67,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_612,36.88,35.88,36.9,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_614,55.17,53.65,54.2,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_619,38.02,39.65,39.25,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_624,49.52,50.85,50.42,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_631,49.2,49.98,48.83,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_653,42.33,40.25,41.95,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_655,40.98,39.27,42.52,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_669,49.02,48.35,49.02,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_670,48.65,48.42,51.08,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_674,43.58,41.67,41.98,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_68,47.73,46.18,46.6,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_682,48.38,49.7,50.42,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_699,49.48,50.8,49.5,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_708,43.25,43.42,42.67,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_713,47.48,48.33,49.77,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_722,45.67,47.3,47.65,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_728,45.0,43.3,44.38,BBB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_733,39.58,40.1,39.33,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_753,49.7,49.65,48.02,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_755,48.62,49.15,48.98,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_758,49.05,48.95,49.4,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_762,47.52,48.42,46.48,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_766,48.68,48.67,50.02,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_773,48.5,49.27,48.85,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_784,50.5,47.6,49.12,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_786,52.73,52.23,53.23,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_788,47.4,47.85,46.95,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_792,39.0,39.33,39.12,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_810,49.65,48.25,49.77,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_812,55.43,53.17,54.3,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_823,44.25,43.1,42.12,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_830,50.15,48.98,49.12,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_836,50.12,49.98,50.1,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_837,46.52,48.02,47.52,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_850,43.65,41.98,42.73,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_870,49.35,49.08,49.75,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_875,61.65,63.03,63.23,A,A,A,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_876,48.83,48.65,48.55,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_892,49.17,48.05,49.48,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_896,48.75,49.7,48.55,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_903,49.48,49.6,48.7,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_905,41.2,41.62,42.85,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_917,51.17,49.8,48.75,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_92,49.8,50.25,50.02,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_921,40.73,42.5,43.65,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_927,39.92,38.42,39.55,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_929,47.92,47.5,48.98,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_934,41.83,41.15,42.27,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_936,48.65,49.1,50.08,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_981,42.65,41.4,41.77,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_982,47.9,46.95,46.73,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_985,43.62,43.02,43.77,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_986,50.02,48.33,51.4,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
